174,174,انثربولوجيا وعلم الاثار,انثربولوجيا وعلم الاثار,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,
175,175,قسم الإدارة والتخطيط التربوي,قسم الإدارة والتخطيط التربوي,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,
154,176,Department of Physical Therapy,PT\'2nd,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,
177,177,علم النفس,علم النفس,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,
87,178,Department of Petroleum Engineering,Petroleum Engineering Department,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,
79,179,Department of Industrial Engineering & Management Systems,Industrial & Management Systems Engineering,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,
157,180,Department of Mass Communication (Advertising and Public Relations),Mass Communication -PR & Adv,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,
181,181,Department of Biological Sciences,"Biological Sciences, Division Microbiology",NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,
182,182,رياضيات,رياضيات,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,
183,183,الجغرافيا,الجغرافيا,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,
184,184,Department of Geology,Geology Department,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,
26,185,Department of English,Engilish,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,
26,186,Department of English,English Department.,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,
187,187,Department of Computer Information Systems and Quantitative Methods,Quantitive Methods And Information Systems,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,
188,188,Department of Law,School Of Law,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,
188,189,Department of Law,LAW,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,
190,190,تكنولوجيا الهندسة الكيميائيه,تكنولوجيا الهندسة الكيميائيه,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,
155,191,Department of Philosophy,Philosophy Department,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,
61,192,Department of Mass Communication,Mass Communities,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,
193,193,Department of Biology,Biology,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,
194,194,علم نفس,علم نفس,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,
195,195,الإعلام,الإعلام,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,
188,196,Department of Law,colleg of law,NULL,1,2017-06-21 11:56:36,2017-06-21 11:56:36,NULL,NULL,
